ClipName,Frame,RootVel.x,RootVel.z,LFootVel.x,LFootVel.y,LFootVel.z,RFootVel.x,RFootVel.y,RFootVel.z,RootPos.x,RootPos.z,Forward.x,Forward.z
WalkFWD,52,-0.01228721,3.015395,-0.03301824,0.03785274,0.06551842,0.077114,0.03020027,0.6855471,-0.01228721,3.015395,0.02003991,0.9962254
WalkFWD,53,-0.01156745,3.070615,-0.03301591,0.05965542,0.01306373,0.07134326,0.03957495,0.7158022,-0.01156745,3.070615,0.02912066,0.9955553
WalkFWD,54,-0.008510047,3.1232,-0.03495217,0.07878271,-0.02499755,0.06243988,0.04034268,0.7200156,-0.008510047,3.1232,0.03223039,0.9954348
WalkFWD,55,-0.005738797,3.176062,-0.03886066,0.1008004,-0.06089514,0.05704404,0.03228228,0.6765844,-0.005738797,3.176062,0.03306037,0.9954244
WalkFWD,56,-0.002350264,3.228507,-0.04198832,0.1363659,-0.0921794,0.05453122,0.02718791,0.6256733,-0.002350264,3.228507,0.02990831,0.9954418
WalkFWD,57,0.0001934716,3.280868,-0.04346688,0.1777406,-0.102505,0.05250932,0.02418162,0.5719945,0.0001934716,3.280868,0.01971821,0.995154
WalkFWD,58,0.002480152,3.332706,-0.04542643,0.210867,-0.0862877,0.04970082,0.01851215,0.5214742,0.002480152,3.332706,0.004732273,0.994626
WalkFWD,59,0.00396323,3.388583,-0.04859688,0.2185991,-0.0004374862,0.04821771,0.007108171,0.4655975,0.00396323,3.388583,-0.0145478,0.9945562
WalkFWD,60,0.00495623,3.438002,-0.0519085,0.2053522,0.05881926,0.04722476,-0.002576244,0.4161783,0.00495623,3.438002,-0.02962217,0.9946053
WalkFWD,61,0.005947107,3.49188,-0.06033749,0.1590474,0.1490621,0.04553219,-0.008710312,0.362733,0.005947107,3.49188,-0.04287751,0.9951811
WalkFWD,62,0.00681262,3.537044,-0.06509232,0.1165942,0.2203536,0.04394663,-0.008543153,0.3180067,0.00681262,3.537044,-0.0519326,0.9954077
WalkFWD,63,0.007487285,3.582303,-0.06972064,0.07609645,0.3074559,0.04236225,-0.006160893,0.273108,0.007487285,3.582303,-0.05951407,0.9955618
WalkFWD,64,0.007906396,3.625947,-0.07360562,0.04710713,0.3694963,0.04123187,-0.0004704063,0.2298173,0.007906396,3.625947,-0.06592645,0.9954965
WalkFWD,65,0.007904815,3.674637,-0.07641341,0.02596763,0.4398172,0.04137521,0.01097476,0.1816989,0.007904815,3.674637,-0.07318816,0.9949382
WalkFWD,66,0.007488447,3.728526,-0.07462233,0.02022116,0.5981468,0.04242388,0.02231743,0.1282212,0.007488447,3.728526,-0.08108564,0.9938086
WalkFWD,67,0.006926969,3.779548,-0.06992826,0.03400068,0.6829312,0.04435689,0.03839333,0.07766359,0.006926969,3.779548,-0.08950944,0.9926571
WalkFWD,68,0.005760901,3.831777,-0.06057256,0.04999547,0.7336476,0.04774065,0.06166888,0.02701677,0.005760901,3.831777,-0.1028103,0.9910414
WalkFWD,69,0.004534456,3.882989,-0.05006475,0.0417509,0.7209893,0.05016403,0.08840399,-0.01862783,0.004534456,3.882989,-0.1189921,0.9892707
WalkFWD,70,0.002196271,3.939945,-0.04661007,0.03502515,0.6646484,0.05295436,0.1207812,-0.03860139,0.002196271,3.939945,-0.1234023,0.9884025
WalkFWD,71,0.000355122,3.994802,-0.04453425,0.02996322,0.606337,0.05455535,0.161424,-0.05196036,0.000355122,3.994802,-0.1260085,0.9877732
WalkFWD,72,-0.001299763,4.048485,-0.04287663,0.02551594,0.5484421,0.05618825,0.2028937,-0.0529889,-0.001299763,4.048485,-0.1266852,0.9874235
WalkFWD,73,-0.003377662,4.100711,-0.04044545,0.02083151,0.4944929,0.05915934,0.2340324,-0.04157474,-0.003377662,4.100711,-0.1251106,0.9876683
WalkFWD,74,-0.004428636,4.151271,-0.03939749,0.009046608,0.4437113,0.06103721,0.2253653,0.01183581,-0.004428636,4.151271,-0.1090958,0.9900575
WalkFWD,75,-0.005106755,4.200713,-0.03872785,-0.000984314,0.394046,0.0639459,0.1951071,0.07984412,-0.005106755,4.200713,-0.08784261,0.9925896
WalkFWD,76,-0.0060589,4.248291,-0.03778839,-0.006803497,0.3462423,0.06663348,0.1552277,0.1589915,-0.0060589,4.248291,-0.06705848,0.9946258
WalkFWD,77,-0.007420375,4.294332,-0.03642636,-0.008094629,0.3000015,0.07055485,0.1156867,0.236029,-0.007420375,4.294332,-0.04759814,0.9958002
WalkFWD,78,-0.008865881,4.339255,-0.03493999,-0.008037639,0.2548779,0.07511742,0.07734071,0.3201338,-0.008865881,4.339255,-0.02939972,0.9964556
WalkFWD,79,-0.01005458,4.38323,-0.0332424,-0.004082221,0.2110639,0.07833898,0.04268645,0.4055589,-0.01005458,4.38323,-0.01054001,0.9967991
WalkFWD,80,-0.01130444,4.431345,-0.03274058,0.006691047,0.164704,0.079276,0.01852046,0.5105334,-0.01130444,4.431345,0.005340828,0.9967643
WalkFWD,81,-0.01214333,4.481998,-0.03281711,0.02009298,0.1155816,0.07899717,0.01848206,0.6080269,-0.01214333,4.481998,0.0147685,0.9964249
WalkFWD,82,-0.0122854,4.533269,-0.03301822,0.03785271,0.06551813,0.07711403,0.03020027,0.6855468,-0.0122854,4.533269,0.02003968,0.9962254
WalkFWD,83,-0.01156564,4.588489,-0.03301588,0.0596554,0.01306388,0.0713433,0.03957497,0.7158028,-0.01156564,4.588489,0.02912079,0.9955553
WalkFWD,84,-0.008508237,4.641073,-0.03495217,0.07878287,-0.02499746,0.06243992,0.0403429,0.7200154,-0.008508237,4.641073,0.03223026,0.9954348
WalkFWD,85,-0.005736989,4.693935,-0.03886064,0.1008002,-0.06089541,0.05704407,0.0322821,0.6765847,-0.005736989,4.693935,0.03306046,0.9954245
WalkFWD,86,-0.00234844,4.74638,-0.04198832,0.1363657,-0.09217959,0.05453124,0.02718795,0.6256735,-0.00234844,4.74638,0.02990833,0.9954418
